YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,100m,load_factor
YYY,MM,DD,HH,NAME,stLON,stLAT,MARlon,MARlat,0.0,0.0
2015,1,6,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,2.54,0.0
2015,1,6,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,3.62,0.014243713645979343
2015,1,6,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,5.24,0.0776006064367208
2015,1,6,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,6.49,0.16747653977855537
2015,1,6,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,7.37,0.2527381315192357
2015,1,6,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,9.49,0.5426623524108384
2015,1,6,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,11.72,0.8717727401096667
2015,1,6,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.19,1.0
2015,1,6,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,17.04,0.9999942401079475
2015,1,7,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,19.55,0.9999983597179627
2015,1,7,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,21.09,0.9999999390324666
2015,1,7,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,23.7,0.9999999916333834
2015,1,7,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,25.91,0.0
2015,1,7,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.07,0.0
2015,1,7,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.9,0.0
2015,1,7,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.85,0.0
2015,1,7,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.63,0.0
2015,1,7,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.67,0.0
2015,1,7,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.6,0.0
2015,1,7,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.33,0.0
2015,1,7,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,27.19,0.0
2015,1,7,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,26.87,0.0
2015,1,7,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,26.42,0.0
2015,1,7,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,25.88,0.0
2015,1,7,15,offshore1,-45.343079,60.385963,-45.454914,60.370075,25.25,0.0
2015,1,7,16,offshore1,-45.343079,60.385963,-45.454914,60.370075,24.08,1.0
2015,1,7,17,offshore1,-45.343079,60.385963,-45.454914,60.370075,22.45,1.0
2015,1,7,18,offshore1,-45.343079,60.385963,-45.454914,60.370075,20.89,1.0
2015,1,7,19,offshore1,-45.343079,60.385963,-45.454914,60.370075,19.64,0.9999986414527365
2015,1,7,20,offshore1,-45.343079,60.385963,-45.454914,60.370075,18.27,1.0
2015,1,7,21,offshore1,-45.343079,60.385963,-45.454914,60.370075,16.83,1.0
2015,1,7,22,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.65,0.9997433529966138
2015,1,7,23,offshore1,-45.343079,60.385963,-45.454914,60.370075,15.22,0.9996901597074336
2015,1,8,0,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.57,1.0
2015,1,8,1,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.18,1.0
2015,1,8,2,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.64,1.0
2015,1,8,3,offshore1,-45.343079,60.385963,-45.454914,60.370075,14.37,1.0
2015,1,8,4,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.63,0.99501940118438
2015,1,8,5,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.89,0.9711229588238101
2015,1,8,6,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.21,0.9260130153926374
2015,1,8,7,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.44,0.9446536827119791
2015,1,8,8,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.11,0.980382367313182
2015,1,8,9,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.55,0.99338099396394
2015,1,8,10,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.9,0.9990556064601311
2015,1,8,11,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.45,0.9910318728778196
2015,1,8,12,offshore1,-45.343079,60.385963,-45.454914,60.370075,13.16,0.982218158708092
2015,1,8,13,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.64,0.9578664212121514
2015,1,8,14,offshore1,-45.343079,60.385963,-45.454914,60.370075,12.06,0.9115845401627033
